id,name,parent_id
1096,Track and Field Men's Pole Vault,79
1097,Track and Field Men's Shot Put,79
1098,Track and Field Men's Standing High Jump,79
1099,Track and Field Men's Standing Long Jump,79
1100,Track and Field Men's Standing Triple Jump,79
1101,Track and Field Men's Triple Jump,79
1102,Tug-Of-War Men's Tug-Of-War,80
1103,Water Polo Men's Water Polo,81
1104,Archery Men's Double American Round,82
1105,Archery Men's Double York Round,82
1106,Archery Women's Double Columbia Round,82
1107,Archery Women's Double National Round,82
1108,Archery Women's Team Round,82
1109,Archery Men's Team Round,82
1110,Boxing Men's Heavyweight,83
1111,Boxing Men's Flyweight,83
1112,Boxing Men's Bantamweight,83
1113,Boxing Men's Featherweight,83
1114,Boxing Men's Middleweight,83
1115,Boxing Men's Lightweight,83
1116,Boxing Men's Welterweight,83
1117,Cycling Men's 2 mile,84
1118,Cycling Men's 25 mile,84
1119,Cycling Men's 1/4 mile,84
1120,Cycling Men's 1/3 mile,84
1121,Cycling Men's 1/2 mile,84
1122,Cycling Men's 1 mile,84
1123,Cycling Men's 5 mile,84
1124,Diving Men's Springboard,85
1125,"Fencing Men's Foil, Team",86
1126,"Fencing Men's Sabre, Individual",86
1127,"Fencing Men's Foil, Individual",86
1128,"Fencing Men's epee, Individual",86
1129,"Fencing Men's Single Sticks, Individual",86
1130,Football Men's Football,87
1131,Golf Men's Individual,88
1132,Golf Men's Team,88
1133,Gymnastics Men's Club Swinging,89
1134,Gymnastics Men's Horizontal Bar,89
1135,Gymnastics Men's Horse Vault,89
1136,Gymnastics Men's Individual All-Around,89
1137,"Gymnastics Men's Individual All-Around, 4 Events",89
1138,"Gymnastics Men's Individual All-Around, Apparatus Work",89
1139,"Gymnastics Men's Individual All-Around, Field Sports",89
1140,Gymnastics Men's Parallel Bars,89
1141,Gymnastics Men's Rings,89
1142,Gymnastics Men's Rope Climbing,89
1143,Gymnastics Men's Side Horse,89
1144,Gymnastics Men's Team All-Around,89
1145,Lacrosse Men's Lacrosse,90
1146,Roque Men's Singles,91
1147,Rowing Men's Coxed Eights,92
1148,Rowing Men's Coxless Fours,92
1149,Rowing Men's Coxless Pairs,92
1150,Rowing Men's Double Sculls,92
1151,Rowing Men's Single Sculls,92
1152,Swimming Men's 100 Yard Backstroke,93
1153,Swimming Men's 100 yard Freestyle,93
1154,Swimming Men's 220 yard Freestyle,93
1155,Swimming Men's 4 x 50 Yard Freestyle Relay,93
